Timestamp,Gender,Ethnicity,Academic Year,Major,GPA,UCR BC,Housing BC,Housing no $,Housing AC,Learning
2/3/2021 15:02:49,Male,"Hispanic or Latino or Spanish Origin, White",Senior/Senior+,Computer Science,3.3 - 3.69,Yes,On-campus Apartments,On-campus,I'll be graduated by that time,In-person (on-campus lecture)
2/3/2021 22:25:54,Female,Asian,Junior,Computer Science,3.3 - 3.69,No,"I was attending community college before covid, so I was living at home",On-campus,Debating between off-campus apartment or UCR dorm,Remote-learning (Online instruction)
2/3/2021 23:51:41,Female,Asian,Senior/Senior+,CMDB,3.3 - 3.69,No,Off-campus Apartments,On-campus,On Campus Apartment,Combined (Online + on-campus)
2/4/2021 10:35:52,Male,Hispanic or Latino or Spanish Origin,Senior/Senior+,CS,3.0 - 3.29,Yes,Off-campus Apartments,On-campus,Done with school before campus opens,Remote-learning (Online instruction)
2/4/2021 13:31:23,Male,Asian,Sophomore,Computer Science with Business Applications,3.3 - 3.69,Yes,UCR Dorms,On-campus,Off - Campus Apartment,In-person (on-campus lecture)
2/4/2021 13:46:28,Female,"Asian, Native Hawaiian or Pacific Islander",Freshman,Material Science and Engineering,2.7 - 2.99,No,Off-campus Apartments,On-campus,UCR Dorms,Combined (Online + on-campus)
2/4/2021 14:13:33,Male,Asian,Senior/Senior+,Computer Science,3.0 - 3.29,Yes,Crashed at friends' couches,On-campus,Whatever is most affordable,Remote-learning (Online instruction)
2/5/2021 11:17:45,Male,Asian,Sophomore,Computer Science,3.7 - 4.0,Yes,UCR Dorms,On-campus,On Campus Apartment,In-person (on-campus lecture)
2/5/2021 11:19:04,Male,"Hispanic or Latino or Spanish Origin, White",Senior/Senior+,Computer Science,3.3 - 3.69,Yes,Off-campus Apartments,Off-campus,Graduating,Combined (Online + on-campus)
2/5/2021 11:27:38,Male,Hispanic or Latino or Spanish Origin,Senior/Senior+,Computer Science,3.7 - 4.0,Yes,With parents,Off-campus,Parent's house,In-person (on-campus lecture)
2/5/2021 12:03:49,Male,Hispanic or Latino or Spanish Origin,Senior/Senior+,Computer Science,2.3 - 2.69,Yes,home,Off-campus,home,Combined (Online + on-campus)
2/5/2021 16:27:36,Questioning/Non-binary(ish),Asian,Sophomore,Computer Science,3.7 - 4.0,Yes,UCR Dorms,Off-campus,Off - Campus Apartment,In-person (on-campus lecture)
2/5/2021 17:01:15,Female,Asian,Sophomore,CS,3.7 - 4.0,Yes,Home,On-campus,Home,Combined (Online + on-campus)
2/5/2021 17:51:44,Male,Asian,Junior,CS with Business Applications,3.3 - 3.69,No,Off-campus Apartments,Off-campus,Off - Campus Apartment,Remote-learning (Online instruction)
2/5/2021 19:33:04,Male,Asian,Sophomore,CS,3.7 - 4.0,Yes,UCR Dorms,On-campus,On Campus Apartment,In-person (on-campus lecture)
2/5/2021 23:05:32,Male,Asian,Sophomore,ENCS,3.3 - 3.69,Yes,UCR Dorms,On-campus,On Campus Apartment,In-person (on-campus lecture)
2/8/2021 10:35:59,Male,"Asian, White",Senior/Senior+,Computer Science,3.3 - 3.69,Yes,On-campus Apartments,On-campus,Graduating this year,In-person (on-campus lecture)
2/9/2021 11:57:36,Male,Asian,Senior/Senior+,Computer Science,3.7 - 4.0,Yes,Off-campus Apartments,Off-campus,Off - Campus Apartment,In-person (on-campus lecture)
2/10/2021 10:12:12,,Mixed,Sophomore,CEN,3.3 - 3.69,Yes,Local Resident prior,On-campus,Same home,In-person (on-campus lecture)
